t,pCAMx,pCAMy,pCAMz,qCAMx,qCAMy,qCAMz,qCAMw,p1x,p1y,p1z,q1x,q1y,q1z,q1w,p2x,p2y,p2z,q2x,q2y,q2z,q2w,p3x,p3y,p3z,q3x,q3y,q3z,q3w,p4x,p4y,p4z,q4x,q4y,q4z,q4w,p5x,p5y,p5z,q5x,q5y,q5z,q5w,p6x,p6y,p6z,q6x,q6y,q6z,q6w,p7x,p7y,p7z,q7x,q7y,q7z,q7w,p8x,p8y,p8z,q8x,q8y,q8z,q8w,p9x,p9y,p9z,q9x,q9y,q9z,q9w,p10x,p10y,p10z,q10x,q10y,q10z,q10w,p11x,p11y,p11z,q11x,q11y,q11z,q11w,p12x,p12y,p12z,q12x,q12y,q12z,q12w
0.100046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.257040,0.372523,-0.010385,-0.02718154,0.00742459,0.89120500,0.45272474,-0.298571,0.389123,-0.001648,-0.39605449,-0.44568565,0.72457080,0.34569104,-0.351531,0.405968,0.020406,-0.38630329,-0.45499430,0.72041736,0.35319794,,,,,,,,,,,,,,,,,,,,,
0.108384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.258192,0.372331,-0.009291,-0.41357037,-0.43934718,0.71879882,0.34534311,-0.301750,0.388624,0.003484,-0.04958881,-0.00031074,0.88947321,0.45428874,-0.338841,0.399887,-0.004927,-0.38964741,-0.46466690,0.72037526,0.33662895,,,,,,,,,,,,,,,,,,,,,
0.116721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.268145,0.372242,0.001013,-0.40589110,-0.43448290,0.72560507,0.34637307,-0.303874,0.393103,0.007354,-0.04892675,0.00566912,0.88717771,0.45879162,-0.331913,0.410074,0.005357,-0.03098780,0.00011271,0.88966887,0.45555357,,,,,,,,,,,,,,,,,,,,,
0.125058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.274277,0.376474,0.020708,-0.40366887,-0.44323982,0.71713687,0.35539361,-0.298341,0.389902,-0.001044,-0.05069848,-0.00817450,0.89147113,0.45015783,-0.335181,0.408864,0.010047,-0.02960055,0.00768783,0.88776161,0.45928643,,,,,,,,,,,,,,,,,,,,,
0.133395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.266800,0.377381,0.000036,-0.02833471,0.01295584,0.89187900,0.45119967,0.106125,0.309326,0.374427,0.68260890,0.19901459,0.63238527,0.30745269,-0.329400,0.404359,-0.008444,-0.03995455,-0.00421820,0.89216298,0.44992339,,,,,,,,,,,,,,,,,,,,,
0.141732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.255883,0.378240,-0.003626,-0.41069840,-0.41838308,0.72507893,0.36130730,-0.296446,0.389937,-0.004554,-0.04889658,0.00049159,0.89149250,0.45038873,-0.334427,0.407502,-0.001290,-0.02963108,0.00966428,0.89122033,0.45249853,,,,,,,,,,,,,,,,,,,,,
0.150070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.255814,0.378400,-0.003618,-0.02647562,-0.00639603,0.88998218,0.45518113,-0.294687,0.390521,-0.006842,-0.04823320,-0.00924710,0.89130647,0.45073365,-0.329611,0.409275,-0.008216,-0.03778191,0.01058990,0.88969530,0.45486554,,,,,,,,,,,,,,,,,,,,,
0.158407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086375,0.302217,0.332879,0.68398359,0.19002283,0.62825292,0.31836463,-0.296206,0.389781,-0.012224,-0.05823837,-0.01612796,0.89132045,0.44932843,0.111627,0.321553,0.396113,0.69915607,0.21088426,0.61033880,0.30691231,,,,,,,,,,,,,,,,,,,,,
0.166744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.255105,0.373969,-0.012235,-0.41691485,-0.43098404,0.71842066,0.35257130,-0.301701,0.387305,-0.005994,-0.04613157,0.01761064,0.88841326,0.45638100,-0.346069,0.401778,0.011299,-0.03377880,0.00256360,0.89443719,0.44590867,,,,,,,,,,,,,,,,,,,,,
0.175081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.256767,0.373436,-0.010193,-0.41640657,-0.43821146,0.71728973,0.34651366,-0.301950,0.392469,-0.004856,-0.04534001,0.01440684,0.88591552,0.46140050,-0.348212,0.407048,0.015462,-0.03318241,0.00869645,0.89210568,0.45052276,,,,,,,,,,,,,,,,,,,,,
