t,pCAMx,pCAMy,pCAMz,qCAMx,qCAMy,qCAMz,qCAMw,p1x,p1y,p1z,q1x,q1y,q1z,q1w,p2x,p2y,p2z,q2x,q2y,q2z,q2w,p3x,p3y,p3z,q3x,q3y,q3z,q3w,p4x,p4y,p4z,q4x,q4y,q4z,q4w,p5x,p5y,p5z,q5x,q5y,q5z,q5w,p6x,p6y,p6z,q6x,q6y,q6z,q6w,p7x,p7y,p7z,q7x,q7y,q7z,q7w,p8x,p8y,p8z,q8x,q8y,q8z,q8w,p9x,p9y,p9z,q9x,q9y,q9z,q9w,p10x,p10y,p10z,q10x,q10y,q10z,q10w,p11x,p11y,p11z,q11x,q11y,q11z,q11w,p12x,p12y,p12z,q12x,q12y,q12z,q12w,valid1,quality1,reason1,angle_jump1,pos_step1,valid2,quality2,reason2,angle_jump2,pos_step2,valid3,quality3,reason3,angle_jump3,pos_step3,valid4,quality4,reason4,angle_jump4,pos_step4,valid5,quality5,reason5,angle_jump5,pos_step5,valid6,quality6,reason6,angle_jump6,pos_step6,valid7,quality7,reason7,angle_jump7,pos_step7,valid8,quality8,reason8,angle_jump8,pos_step8,valid9,quality9,reason9,angle_jump9,pos_step9,valid10,quality10,reason10,angle_jump10,pos_step10,valid11,quality11,reason11,angle_jump11,pos_step11,valid12,quality12,reason12,angle_jump12,pos_step12
0.083372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.257037,0.372389,-0.010384,-0.02704032,0.00751261,0.89119438,0.45275264,-0.310867,0.394206,0.014514,-0.04236820,0.00558951,0.89106894,0.45185157,-0.344233,0.405590,0.014461,-0.02430776,0.01039456,0.89337126,0.44854082,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.918,0.027236,1,1.000,accepted,0.910,0.006651,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.091709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.260301,0.371430,-0.006054,-0.02653467,0.01473303,0.88902322,0.45685508,-0.304719,0.391664,0.006433,-0.23004048,-0.23091854,0.84772650,0.41847077,-0.341915,0.409894,0.016684,-0.02351330,0.00861504,0.89119479,0.45292907,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.985,0.005507,1,1.000,interpolated,,,1,1.000,accepted,1.208,0.010740,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.100046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.261601,0.372620,-0.004836,-0.02689478,0.01437765,0.88959769,0.45572569,-0.298571,0.389123,-0.001648,-0.39605449,-0.44568565,0.72457080,0.34569104,-0.351531,0.405968,0.020406,-0.38630329,-0.45499430,0.72041736,0.35319794,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,voted,70.601,0.020934,1,1.000,voted,72.359,0.011033,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.108384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.262901,0.373810,-0.003618,-0.02725484,0.01402223,0.89017050,0.45459545,-0.301222,0.391113,0.002853,-0.23334420,-0.23074075,0.84518657,0.42186355,-0.341722,0.408021,0.012882,-0.21909631,-0.23883298,0.84536659,0.42463037,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,interpolated,,,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.116721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.264200,0.375001,-0.002400,-0.02761485,0.01366679,0.89074166,0.45346437,-0.303874,0.393103,0.007354,-0.04892675,0.00566912,0.88717771,0.45879162,-0.331913,0.410074,0.005357,-0.03098780,0.00011271,0.88966887,0.45555357,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,voted,70.175,0.011180,1,1.000,voted,71.072,0.025064,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.125058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.265500,0.376191,-0.001182,-0.02797481,0.01331133,0.89131116,0.45233244,-0.298341,0.389902,-0.001044,-0.05069848,-0.00817450,0.89147113,0.45015783,-0.335181,0.408864,0.010047,-0.02960055,0.00768783,0.88776161,0.45928643,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,accepted,1.944,0.010554,1,1.000,accepted,1.005,0.005843,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.133395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.266800,0.377381,0.000036,-0.02833471,0.01295584,0.89187900,0.45119967,-0.297393,0.389919,-0.002799,-0.04979802,-0.00384149,0.89149055,0.45027769,-0.329400,0.404359,-0.008444,-0.03995455,-0.00421820,0.89216298,0.44992339,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,0.782,0.010712,1,1.000,interpolated,,,1,1.000,accepted,2.162,0.019891,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.141732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.261307,0.377891,-0.001791,-0.02740653,0.00328007,0.89097485,0.45321291,-0.296446,0.389937,-0.004554,-0.04889658,0.00049159,0.89149250,0.45038873,-0.334427,0.407502,-0.001290,-0.02963108,0.00966428,0.89122033,0.45249853,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,accepted,1.015,0.003989,1,1.000,accepted,2.007,0.009291,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.150070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.255814,0.378400,-0.003618,-0.02647562,-0.00639603,0.88998218,0.45518113,-0.294687,0.390521,-0.006842,-0.04823320,-0.00924710,0.89130647,0.45073365,-0.329611,0.409275,-0.008216,-0.03778191,0.01058990,0.88969530,0.45486554,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,accepted,2.284,0.011622,1,1.000,accepted,1.119,0.002945,1,1.000,accepted,0.994,0.008620,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
0.158407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.259814,0.379308,0.001707,-0.02229774,-0.00279158,0.88947990,0.45642143,-0.298194,0.388913,-0.006418,-0.04718690,0.00418217,0.88994509,0.45360076,-0.337840,0.405527,0.001542,-0.03578117,0.00657690,0.89208667,0.45039742,,,,,,,,,,,,,,,,,,,,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,,1,1.000,interpolated,,,1,1.000,interpolated,,,1,1.000,interpolated,,,0,0.000,missing,,,0,0.000,missing,,,0,0.000,missing,,
